tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity,anomaly_score,is_anomaly
2026-07-20,07:00,192.168.2.184,318,74,11,159,159,98532,309.85,20,253,34,11,0.0629,0.7956,0.1069,0.0346,0.2327,0.4752172592737264,0
2026-07-20,07:00,192.168.2.191,140,59,7,66,74,50116,357.97,27,94,17,2,0.1929,0.6714,0.1214,0.0143,0.4214,0.41589928425344,0
2026-07-20,07:00,192.168.2.195,24,16,1,17,7,9866,411.08,0,24,0,0,0.0,1.0,0.0,0.0,0.6667,0.3809475464260495,0
2026-07-20,08:00,192.168.2.101,227,35,6,53,174,37365,164.6,130,90,6,1,0.5727,0.3965,0.0264,0.0044,0.1542,0.4709787565784435,0
2026-07-20,08:00,192.168.2.107,691,93,4,527,164,208639,301.94,0,685,6,0,0.0,0.9913,0.0087,0.0,0.1346,0.5295158817109891,0
2026-07-20,08:00,192.168.2.113,23,8,4,17,6,2506,108.96,5,14,4,0,0.2174,0.6087,0.1739,0.0,0.3478,0.4027252773137928,0
2026-07-20,08:00,192.168.2.135,4,2,4,3,1,411,102.75,2,2,0,0,0.5,0.5,0.0,0.0,0.5,0.44057515702914773,0
2026-07-20,08:00,192.168.2.139,455,90,8,226,229,141948,311.97,107,321,27,0,0.2352,0.7055,0.0593,0.0,0.1978,0.47964796070621396,0
2026-07-20,08:00,192.168.2.144,142,31,3,39,103,54087,380.89,57,77,8,0,0.4014,0.5423,0.0563,0.0,0.2183,0.41936484737582824,0
2026-07-20,08:00,192.168.2.158,16,6,2,6,10,11900,743.75,0,14,2,0,0.0,0.875,0.125,0.0,0.375,0.3848394636193625,0
2026-07-20,08:00,192.168.2.162,165,69,7,131,34,46165,279.79,3,155,4,3,0.0182,0.9394,0.0242,0.0182,0.4182,0.422641624365745,0
2026-07-20,08:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333,0.36432273272230004,0
2026-07-20,08:00,192.168.2.191,109,45,9,58,51,41458,380.35,20,69,16,4,0.1835,0.633,0.1468,0.0367,0.4128,0.4284689378090854,0
2026-07-20,09:00,192.168.2.101,355,37,5,55,300,49863,140.46,163,188,4,0,0.4592,0.5296,0.0113,0.0,0.1042,0.46253627598998515,0
2026-07-20,09:00,192.168.2.107,483,86,3,351,132,163764,339.06,0,473,10,0,0.0,0.9793,0.0207,0.0,0.1781,0.4828303171057325,0
2026-07-20,09:00,192.168.2.113,117,22,4,66,51,19763,168.91,13,70,34,0,0.1111,0.5983,0.2906,0.0,0.188,0.4156857737300545,0
2026-07-20,09:00,192.168.2.139,134,40,4,52,82,37488,279.76,46,77,11,0,0.3433,0.5746,0.0821,0.0,0.2985,0.4045783755697723,0
